Date,USDTRY,,,Retrun_5D,Retrun_20D,Volatility_5D,Volatility_20D,Volatility_6D,MA_Distance_20D,MA_Distance_50D,MA_Slope_20D,Drawdown_60D
1/2/2017,3.5445,,,,,,,,,,,
1/3/2017,3.5943,,,,,,,,,,,
1/4/2017,3.5713,,,,,,,,,,,
1/5/2017,3.5927,,,,,,,,,,,
1/6/2017,3.6445,,,,,,,,,,,
1/9/2017,3.7129,,,,,,,,,,,
1/10/2017,3.7885,,,,,,,,,,,
1/11/2017,3.8647,,,,,,,,,,,
1/12/2017,3.7597,,,,,,,,,,,
1/13/2017,3.723,,,,,,,,,,,
1/16/2017,3.8042,,,,,,,,,,,
1/17/2017,3.761,,,,,,,,,,,
1/18/2017,3.7966,,,,,,,,,,,
1/19/2017,3.8273,,,,,,,,,,,
1/20/2017,3.7655,,,,,,,,,,,
1/23/2017,3.7573,,,,,,,,,,,
1/24/2017,3.7833,,,,,,,,,,,
1/25/2017,3.8313,,,,,,,,,,,
1/26/2017,3.844,,,,,,,,,,,
1/27/2017,3.8775,,,,,,,,,,,
1/30/2017,3.7818,,,,,,,,,,,
1/31/2017,3.7734,,,,,,,,,,,
2/1/2017,3.7705,,,,,,,,,,,
2/2/2017,3.7371,,,,,,,,,,,
2/3/2017,3.6976,,,,,,,,,,,
2/6/2017,3.6839,,,,,,,,,,,
2/7/2017,3.7451,,,,,,,,,,,
2/8/2017,3.7178,,,,,,,,,,,
2/9/2017,3.6831,,,,,,,,,,,
2/10/2017,3.6953,,,,,,,,,,,
2/13/2017,3.6717,,,,,,,,,,,
2/14/2017,3.6503,,,,,,,,,,,
2/15/2017,3.6601,,,,,,,,,,,
2/16/2017,3.6666,,,,,,,,,,,
2/17/2017,3.629,,,,,,,,,,,
2/20/2017,3.6245,,,,,,,,,,,
2/21/2017,3.6203,,,,,,,,,,,
2/22/2017,3.5802,,,,,,,,,,,
2/23/2017,3.5691,,,,,,,,,,,
2/24/2017,3.607,,,,,,,,,,,
2/27/2017,3.6072,,,,,,,,,,,
2/28/2017,3.6472,,,,,,,,,,,
3/1/2017,3.6543,,,,,,,,,,,
3/2/2017,3.728,,,,,,,,,,,
3/3/2017,3.7029,,,,,,,,,,,
3/6/2017,3.7132,,,,,,,,,,,
3/7/2017,3.6807,,,,,,,,,,,
3/8/2017,3.7467,,,,,,,,,,,
3/9/2017,3.7747,,,,,,,,,,,
3/10/2017,3.7299,,,,,,,,,,,
3/13/2017,3.7418,,,,,,,,,,,
3/14/2017,3.7426,,,,,,,,,,,
3/15/2017,3.6754,,,,,,,,,,,
3/16/2017,3.6256,,,,,,,,,,,
3/17/2017,3.6344,,,,,,,,,,,
3/20/2017,3.616,,,,,,,,,,,
3/21/2017,3.6329,,,,,,,,,,,
3/22/2017,3.6184,,,,,,,,,,,
3/23/2017,3.6348,,,,,,,,,,,
3/24/2017,3.6108,,,,,,,,,,,
3/27/2017,3.6166,,,,,,,,,,,
3/28/2017,3.6582,,,,,,,,,,,
3/29/2017,3.6459,,,,,,,,,,,
3/30/2017,3.652,,,,,,,,,,,
3/31/2017,3.6352,,,,,,,,,,,
4/3/2017,3.6449,,,,,,,,,,,
4/4/2017,3.679,,,,,,,,,,,
4/5/2017,3.6991,,,,,,,,,,,
4/6/2017,3.7111,,,,,,,,,,,
4/7/2017,3.7299,,,,,,,,,,,
4/10/2017,3.7294,,,,,,,,,,,
4/11/2017,3.6972,,,,,,,,,,,
4/12/2017,3.6492,,,,,,,,,,,
4/13/2017,3.6633,,,,,,,,,,,
4/14/2017,3.7327,,,,,,,,,,,
4/17/2017,3.7011,,,,,,,,,,,
4/18/2017,3.6608,,,,,,,,,,,
4/19/2017,3.673,,,,,,,,,,,
4/20/2017,3.6415,,,,,,,,,,,
4/21/2017,3.6401,,,,,,,,,,,
4/24/2017,3.573,,,,,,,,,,,
4/25/2017,3.5797,,,,,,,,,,,
4/26/2017,3.5783,,,,,,,,,,,
4/27/2017,3.5612,,,,,,,,,,,
4/28/2017,3.5516,,,,,,,,,,,
5/1/2017,3.5545,,,,,,,,,,,
5/2/2017,3.5273,,,,,,,,,,,
5/3/2017,3.5349,,,,,,,,,,,
5/4/2017,3.554,,,,,,,,,,,
5/5/2017,3.5441,,,,,,,,,,,
5/8/2017,3.5851,,,,,,,,,,,
5/9/2017,3.6239,,,,,,,,,,,
5/10/2017,3.5874,,,,,,,,,,,
5/11/2017,3.5758,,,,,,,,,,,
5/12/2017,3.5731,,,,,,,,,,,
5/15/2017,3.5483,,,,,,,,,,,
5/16/2017,3.5392,,,,,,,,,,,
5/17/2017,3.5681,,,,,,,,,,,
5/18/2017,3.6251,,,,,,,,,,,
5/19/2017,3.5753,,,,,,,,,,,
5/22/2017,3.5593,,,,,,,,,,,
5/23/2017,3.5704,,,,,,,,,,,
5/24/2017,3.5604,,,,,,,,,,,
5/25/2017,3.5667,,,,,,,,,,,
5/26/2017,3.5777,,,,,,,,,,,
5/29/2017,3.5772,,,,,,,,,,,
5/30/2017,3.5491,,,,,,,,,,,
5/31/2017,3.527,,,,,,,,,,,
6/1/2017,3.5246,,,,,,,,,,,
6/2/2017,3.5098,,,,,,,,,,,
6/5/2017,3.5237,,,,,,,,,,,
6/6/2017,3.5151,,,,,,,,,,,
6/7/2017,3.5503,,,,,,,,,,,
6/8/2017,3.5244,,,,,,,,,,,
6/9/2017,3.5373,,,,,,,,,,,
6/12/2017,3.5164,,,,,,,,,,,
6/13/2017,3.5198,,,,,,,,,,,
6/14/2017,3.4878,,,,,,,,,,,
6/15/2017,3.513,,,,,,,,,,,
6/16/2017,3.5027,,,,,,,,,,,
6/19/2017,3.5228,,,,,,,,,,,
6/20/2017,3.5444,,,,,,,,,,,
6/21/2017,3.531,,,,,,,,,,,
6/22/2017,3.5077,,,,,,,,,,,
6/23/2017,3.5088,,,,,,,,,,,
6/26/2017,3.5008,,,,,,,,,,,
6/27/2017,3.5263,,,,,,,,,,,
6/28/2017,3.5128,,,,,,,,,,,
6/29/2017,3.5265,,,,,,,,,,,
6/30/2017,3.5212,,,,,,,,,,,
7/3/2017,3.5571,,,,,,,,,,,
7/4/2017,3.5594,,,,,,,,,,,
7/5/2017,3.6062,,,,,,,,,,,
7/6/2017,3.6212,,,,,,,,,,,
7/7/2017,3.6182,,,,,,,,,,,
7/10/2017,3.6083,,,,,,,,,,,
7/11/2017,3.6139,,,,,,,,,,,
7/12/2017,3.5672,,,,,,,,,,,
7/13/2017,3.5657,,,,,,,,,,,
7/14/2017,3.5381,,,,,,,,,,,
7/17/2017,3.5284,,,,,,,,,,,
7/18/2017,3.5231,,,,,,,,,,,
7/19/2017,3.522,,,,,,,,,,,
7/20/2017,3.5264,,,,,,,,,,,
7/21/2017,3.5364,,,,,,,,,,,
7/24/2017,3.5567,,,,,,,,,,,
7/25/2017,3.5724,,,,,,,,,,,
7/26/2017,3.5385,,,,,,,,,,,
7/27/2017,3.5363,,,,,,,,,,,
7/28/2017,3.5279,,,,,,,,,,,
7/31/2017,3.5193,,,,,,,,,,,
8/1/2017,3.5271,,,,,,,,,,,
8/2/2017,3.5305,,,,,,,,,,,
8/3/2017,3.5396,,,,,,,,,,,
8/4/2017,3.528,,,,,,,,,,,
8/7/2017,3.5291,,,,,,,,,,,
8/8/2017,3.5338,,,,,,,,,,,
8/9/2017,3.5376,,,,,,,,,,,
8/10/2017,3.5418,,,,,,,,,,,
8/11/2017,3.5369,,,,,,,,,,,
8/14/2017,3.5257,,,,,,,,,,,
8/15/2017,3.5352,,,,,,,,,,,
8/16/2017,3.5156,,,,,,,,,,,
8/17/2017,3.5254,,,,,,,,,,,
8/18/2017,3.5185,,,,,,,,,,,
8/21/2017,3.497,,,,,,,,,,,
8/22/2017,3.4944,,,,,,,,,,,
8/23/2017,3.4787,,,,,,,,,,,
8/24/2017,3.4838,,,,,,,,,,,
8/25/2017,3.4389,,,,,,,,,,,
8/28/2017,3.4441,,,,,,,,,,,
8/29/2017,3.4465,,,,,,,,,,,
8/30/2017,3.4517,,,,,,,,,,,
8/31/2017,3.4527,,,,,,,,,,,
9/1/2017,3.4284,,,,,,,,,,,
9/4/2017,3.4348,,,,,,,,,,,
9/5/2017,3.4375,,,,,,,,,,,
9/6/2017,3.4257,,,,,,,,,,,
9/7/2017,3.4045,,,,,,,,,,,
9/8/2017,3.4117,,,,,,,,,,,
9/11/2017,3.406,,,,,,,,,,,
9/12/2017,3.4331,,,,,,,,,,,
9/13/2017,3.4579,,,,,,,,,,,
9/14/2017,3.4331,,,,,,,,,,,
9/15/2017,3.4376,,,,,,,,,,,
9/18/2017,3.4895,,,,,,,,,,,
9/19/2017,3.4887,,,,,,,,,,,
9/20/2017,3.503,,,,,,,,,,,
9/21/2017,3.5023,,,,,,,,,,,
9/22/2017,3.4962,,,,,,,,,,,
9/25/2017,3.5494,,,,,,,,,,,
9/26/2017,3.5424,,,,,,,,,,,
9/27/2017,3.5774,,,,,,,,,,,
9/28/2017,3.5603,,,,,,,,,,,
9/29/2017,3.5637,,,,,,,,,,,
