,Return_1D,Return_5D,Volatility_5D,Volatility_20D,Volatility_60D,MA_Distance_20D,MA_Slope_20D,Drawdown_60D,Absolute_Return_1D,Return_ZScore_20D,Volatility_Ratio_5D_60D,Drawdown_Change_5D
Return_1D,1.0,0.4543500081030003,-0.018906012039005347,0.042611840461498025,0.005219274016957178,0.40817762378704026,0.056239332650745114,0.1633761302887113,0.1522675641218713,0.5645337963832578,0.051401581914220944,0.3764477268541461
Return_5D,0.4543500081030003,1.0,0.16757094149477364,0.1692849323469475,0.04746705600098315,0.7790956654898459,0.19202011738246993,0.2668877937234727,0.2781472460264923,0.21734518096488123,0.1955488977131714,0.6016460195861336
Volatility_5D,-0.018906012039005347,0.16757094149477364,1.0,0.7522680348922673,0.5583459163253763,0.29821989868299664,0.44658763511740485,-0.4029891964159012,0.7172986235106659,-0.011579674146422499,0.5576950600836178,-0.376110975359913
Volatility_20D,0.042611840461498025,0.1692849323469475,0.7522680348922673,1.0,0.7700938020828644,0.3006949915672155,0.5758956630416453,-0.5009524102815613,0.5511900255258877,-0.016520289170495656,0.17967608666091606,-0.14680096575498208
Volatility_60D,0.005219274016957178,0.04746705600098315,0.5583459163253763,0.7700938020828644,1.0,0.09565890898336904,0.3319975665348114,-0.7206347773539814,0.41305826372428445,-0.02420707737043731,-0.09130196525666796,-0.08997882453212086
MA_Distance_20D,0.40817762378704026,0.7790956654898459,0.29821989868299664,0.3006949915672155,0.09565890898336904,1.0,0.4655354869740883,0.3512929133466879,0.32791507866972486,0.16298594347883089,0.2608023850054405,0.286839399273254
MA_Slope_20D,0.056239332650745114,0.19202011738246993,0.44658763511740485,0.5758956630416453,0.3319975665348114,0.4655354869740883,1.0,0.1393972206332078,0.35958793431698155,-0.04490666098963566,0.13754663605284667,-0.1875481440678594
Drawdown_60D,0.1633761302887113,0.2668877937234727,-0.4029891964159012,-0.5009524102815613,-0.7206347773539814,0.3512929133466879,0.1393972206332078,1.0,-0.2618794601990671,0.051373070086623736,0.06721094639456723,0.22686149278758622
Absolute_Return_1D,0.1522675641218713,0.2781472460264923,0.7172986235106659,0.5511900255258877,0.41305826372428445,0.32791507866972486,0.35958793431698155,-0.2618794601990671,1.0,0.08513766738178255,0.38611711112278757,-0.22212574677592706
Return_ZScore_20D,0.5645337963832578,0.21734518096488123,-0.011579674146422499,-0.016520289170495656,-0.02420707737043731,0.16298594347883089,-0.04490666098963566,0.051373070086623736,0.08513766738178255,1.0,0.06000726197759201,0.17145148919302228
Volatility_Ratio_5D_60D,0.051401581914220944,0.1955488977131714,0.5576950600836178,0.17967608666091606,-0.09130196525666796,0.2608023850054405,0.13754663605284667,0.06721094639456723,0.38611711112278757,0.06000726197759201,1.0,-0.17037789050174712
Drawdown_Change_5D,0.3764477268541461,0.6016460195861336,-0.376110975359913,-0.14680096575498208,-0.08997882453212086,0.286839399273254,-0.1875481440678594,0.22686149278758622,-0.22212574677592706,0.17145148919302228,-0.17037789050174712,1.0
