Max_Samples,Test_Year,IF_Test_Rate,Threshold
256,2021,0.13793103448275862,0.5456513557174917
256,2022,0.15,0.5188677691941758
256,2023,0.05,0.5212743974308893
256,2024,0.0,0.5221757653707881
256,2025,0.0038314176245210726,0.5247886176546858
256,2026,0.0,0.5338214508249047
512,2021,0.1532567049808429,0.5194386139822265
512,2022,0.16538461538461538,0.5016988559096306
512,2023,0.05,0.4995516195895781
512,2024,0.0,0.5023040316281537
512,2025,0.0038314176245210726,0.5080530479967176
512,2026,0.0,0.5140355088087163
1024,2021,0.1532567049808429,0.5019183310774552
1024,2022,0.18076923076923077,0.4870308270582841
1024,2023,0.05,0.48412631631741876
1024,2024,0.0,0.48593145513370245
1024,2025,0.0038314176245210726,0.48977399340652755
1024,2026,0.0,0.49404799712044767
