Threshold_Multiplier,Test_Year,Training_Target_Rate,IF_Test_Rate,Threshold
0.75,2021,0.04901452282157677,0.13409961685823754,0.5361170754402741
0.75,2022,0.05755102040816327,0.08076923076923077,0.5333985943749374
0.75,2023,0.055050505050505044,0.03076923076923077,0.5351396849005979
0.75,2024,0.05501432664756446,0.0,0.5317690745743701
0.75,2025,0.055306427503736925,0.0038314176245210726,0.5272186672087465
0.75,2026,0.052248677248677246,0.0,0.5330496927278973
1.0,2021,0.06535269709543569,0.1532567049808429,0.5194386139822265
1.0,2022,0.07673469387755102,0.16538461538461538,0.5016988559096306
1.0,2023,0.0734006734006734,0.05,0.4995516195895781
1.0,2024,0.07335243553008595,0.0,0.5023040316281537
1.0,2025,0.0737419033383159,0.0038314176245210726,0.5080530479967176
1.0,2026,0.06966490299823633,0.0,0.5140355088087163
1.25,2021,0.08169087136929461,0.15708812260536398,0.5066365132582827
1.25,2022,0.09591836734693879,0.18461538461538463,0.48527406468576556
1.25,2023,0.09175084175084175,0.05,0.4885678664950661
1.25,2024,0.09169054441260745,0.0,0.490817846578452
1.25,2025,0.09217737917289487,0.0038314176245210726,0.485812948748833
1.25,2026,0.08708112874779542,0.0,0.4922019887221695
