,Return_1D,Return_5D,Return_20D,Volatility_5D,Volatility_20D,Volatility_60D,MA_Distance_20D,MA_Distance_50D,MA_Slope_20D,Drawdown_60D
Return_1D,1.0,0.45399627770080164,0.25790844576251937,-0.0193940750765491,0.042531232658433143,0.005234016830545589,0.4077215252512831,0.2759755607239007,0.05640338304474044,0.16345955117058075
Return_5D,0.45399627770080164,1.0,0.553451768568853,0.1663633220337675,0.1690138888048369,0.04729040320736795,0.7785987625500873,0.5741519589566074,0.19213471197284487,0.26689408409233817
Return_20D,0.25790844576251937,0.553451768568853,1.0,0.36451950664790395,0.41348204292445734,0.17769084474852107,0.8738244472336527,0.9076232308660636,0.7121525541666722,0.2912107464874869
Volatility_5D,-0.0193940750765491,0.1663633220337675,0.36451950664790395,1.0,0.7518335517035005,0.5580473105814179,0.29716541534918006,0.424575662179537,0.4451286876683514,-0.4030547143745963
Volatility_20D,0.042531232658433143,0.1690138888048369,0.41348204292445734,0.7518335517035005,1.0,0.7701223820786401,0.2997963194564514,0.526522065958067,0.5747675701373807,-0.5009041429728235
Volatility_60D,0.005234016830545589,0.04729040320736795,0.17769084474852107,0.5580473105814179,0.7701223820786401,1.0,0.09466854000435988,0.2810652754869243,0.3305378383756371,-0.7206922663099918
MA_Distance_20D,0.4077215252512831,0.7785987625500873,0.8738244472336527,0.29716541534918006,0.2997963194564514,0.09466854000435988,1.0,0.8496535985351837,0.46573991765506956,0.35233052253571034
MA_Distance_50D,0.2759755607239007,0.5741519589566074,0.9076232308660636,0.424575662179537,0.526522065958067,0.2810652754869243,0.8496535985351837,1.0,0.848160544103999,0.28433232418984156
MA_Slope_20D,0.05640338304474044,0.19213471197284487,0.7121525541666722,0.4451286876683514,0.5747675701373807,0.3305378383756371,0.46573991765506956,0.848160544103999,1.0,0.14125047288429157
Drawdown_60D,0.16345955117058075,0.26689408409233817,0.2912107464874869,-0.4030547143745963,-0.5009041429728235,-0.7206922663099918,0.35233052253571034,0.28433232418984156,0.14125047288429157,1.0
