Episode_ID,HMM_State,Regime_Name,Start_Date,End_Date,Duration,Start_Price,End_Price,Mean_Confidence,Price_Change
1,0,High-Volatility Correction,2017-03-27,2018-05-14,296,3.6166,4.3674,0.9985368498697611,0.20759829674279717
2,2,High-Volatility Uptrend,2018-05-15,2018-06-19,26,4.445,4.7402,0.964712055979361,0.06641169853768258
3,0,High-Volatility Correction,2018-06-20,2018-07-06,13,4.7327,4.5704,0.9923374845154241,-0.034293320937308525
4,2,High-Volatility Uptrend,2018-07-09,2018-07-17,7,4.7338,4.8065,0.9959291444965128,0.0153576407959779
5,0,High-Volatility Correction,2018-07-18,2018-07-23,4,4.7953,4.7395,0.9843077327870433,-0.011636393969094883
6,2,High-Volatility Uptrend,2018-07-24,2018-12-10,100,4.8861,5.3248,0.9999850268059138,0.08978530934692297
7,0,High-Volatility Correction,2018-12-11,2019-01-03,18,5.3653,5.4664,0.9628863538573784,0.0188433079231356
8,2,High-Volatility Uptrend,2019-01-04,2019-01-08,3,5.3311,5.4811,0.7024578544644283,0.028136782277578654
9,0,High-Volatility Correction,2019-01-09,2019-03-21,52,5.4768,5.4652,0.9988437158109587,-0.002118025124160039
10,2,High-Volatility Uptrend,2019-03-22,2019-04-19,21,5.7627,5.8112,0.989352503000226,0.008416193798046256
11,0,High-Volatility Correction,2019-04-22,2019-05-09,14,5.8272,6.1926,0.9929594211953565,0.06270593080724862
12,2,High-Volatility Uptrend,2019-05-10,2019-05-16,5,5.9851,6.0457,0.9849515106787476,0.0101251441078678
13,0,High-Volatility Correction,2019-05-17,2019-05-29,9,6.055,6.0121,0.9995904017171353,-0.007085053674648956
14,2,High-Volatility Uptrend,2019-05-30,2019-06-05,5,5.8772,5.731,0.9887674925133785,-0.02487579119308525
15,0,High-Volatility Correction,2019-06-06,2019-12-26,146,5.7801,5.9335,0.9985001187224536,0.02653933322952895
16,1,Low-Volatility Trend,2019-12-27,2020-01-07,8,5.9502,5.9727,0.9732404215544684,0.0037813854996471274
17,0,High-Volatility Correction,2020-01-08,2020-01-28,15,5.9091,5.9403,0.9999997437667234,0.005279991876935508
18,1,Low-Volatility Trend,2020-01-29,2020-02-26,21,5.9567,6.159,0.9599390618836222,0.03396175734886775
19,0,High-Volatility Correction,2020-02-27,2020-08-05,115,6.2078,7.0476,0.9999104769988107,0.13528142014884503
20,2,High-Volatility Uptrend,2020-08-06,2020-08-12,5,7.2389,7.3282,0.9923275239083532,0.012336128417300918
21,0,High-Volatility Correction,2020-08-13,2020-11-06,62,7.3354,8.5193,0.9999321935483072,0.1613954249257028
22,2,High-Volatility Uptrend,2020-11-09,2020-12-04,20,8.0525,7.813,0.9999367894888478,-0.02974231605091593
23,0,High-Volatility Correction,2020-12-07,2020-12-25,15,7.8097,7.5863,0.9600962848004666,-0.028605452194066405
24,2,High-Volatility Uptrend,2020-12-28,2020-12-30,3,7.4382,7.3832,0.9898607041390409,-0.007394262052647149
25,0,High-Volatility Correction,2020-12-31,2021-02-24,40,7.4349,7.1692,0.981096074361559,-0.03573686263433262
26,2,High-Volatility Uptrend,2021-02-25,2021-03-03,5,7.3527,7.4455,0.8988115702083842,0.01262121397581839
27,0,High-Volatility Correction,2021-03-04,2021-03-05,2,7.5113,7.532,0.9181530231606427,0.002755847855897109
28,2,High-Volatility Uptrend,2021-03-08,2021-03-12,5,7.7454,7.5668,0.9674805757754681,-0.023058847832261753
29,0,High-Volatility Correction,2021-03-15,2021-03-17,3,7.5327,7.4954,0.996329953697494,-0.004951743730667646
30,2,High-Volatility Uptrend,2021-03-18,2021-04-16,22,7.3226,8.0605,0.9990468605166892,0.10077021822849797
31,0,High-Volatility Correction,2021-04-19,2021-10-20,133,8.0896,9.2051,0.9999316756947757,0.13789309731012644
32,2,High-Volatility Uptrend,2021-10-21,2021-10-26,4,9.5061,9.5312,0.8374684687652004,0.0026404098421013433
33,0,High-Volatility Correction,2021-10-27,2021-11-15,14,9.4835,10.0604,0.9896393922166791,0.06083197131860607
34,2,High-Volatility Uptrend,2021-11-16,2022-03-15,86,10.3168,14.7037,0.9972837375241355,0.42521906017369715
35,0,High-Volatility Correction,2022-03-16,2022-06-07,60,14.6193,16.7654,0.9954899770052986,0.14679909434788252
36,2,High-Volatility Uptrend,2022-06-08,2022-06-13,4,17.1627,17.271,0.8379584405547723,0.006310195948189934
37,0,High-Volatility Correction,2022-06-14,2022-06-23,8,17.2711,17.3501,0.9918873329884796,0.004574115140321133
38,2,High-Volatility Uptrend,2022-06-24,2022-06-30,5,16.8875,16.6919,0.928381096536658,-0.011582531458179113
39,0,High-Volatility Correction,2022-07-01,2022-08-24,39,16.7427,18.1457,0.9999497568983489,0.08379771482496867
40,1,Low-Volatility Trend,2022-08-25,2022-11-04,52,18.1663,18.5622,0.9856490116576775,0.021793100411201083
41,0,High-Volatility Correction,2022-11-07,2022-11-11,5,18.4998,18.5474,0.9691928702221636,0.0025730007891977547
42,1,Low-Volatility Trend,2022-11-14,2023-05-26,140,18.6007,19.9662,0.9999658219340765,0.07341121570693576
43,0,High-Volatility Correction,2023-05-29,2023-06-02,5,20.0926,20.9567,0.9945638352616755,0.043005882762808145
44,2,High-Volatility Uptrend,2023-06-05,2023-07-24,36,21.2569,26.9499,0.9890852676692862,0.26781891997422
45,0,High-Volatility Correction,2023-07-25,2023-08-23,22,26.9079,27.1893,0.9973113907178534,0.010457895264959216
46,2,High-Volatility Uptrend,2023-08-24,2023-08-30,5,25.7736,26.6899,0.9999999999947249,0.03555188254648178
47,0,High-Volatility Correction,2023-08-31,2023-11-15,55,26.6899,28.6809,0.996524719372992,0.0745975069220941
48,1,Low-Volatility Trend,2023-11-16,2024-01-01,33,28.6547,29.5134,0.9982866010078848,0.029967160710110408
49,0,High-Volatility Correction,2024-01-02,2024-01-03,2,29.7309,29.7691,0.9879075028454622,0.001284858514205789
50,1,Low-Volatility Trend,2024-01-04,2024-01-25,16,29.7529,30.2424,0.9549089280135323,0.01645217777090635
51,0,High-Volatility Correction,2024-01-26,2024-02-02,6,30.0999,30.4907,0.9998210285609086,0.012983431838643922
52,1,Low-Volatility Trend,2024-02-05,2024-03-01,20,30.5514,31.3634,0.999911447946855,0.026578160084316904
53,0,High-Volatility Correction,2024-03-04,2024-04-15,31,31.5712,32.4045,0.9923804034052175,0.02639430873707682
54,1,Low-Volatility Trend,2024-04-16,2024-04-29,10,32.4515,32.4363,0.9990823627571735,-0.0004683912916197963
55,0,High-Volatility Correction,2024-04-30,2024-04-30,1,32.3795,32.3795,0.958282597832779,0.0
56,1,Low-Volatility Trend,2024-05-01,2024-05-01,1,32.4788,32.4788,0.5972975163035571,0.0
57,0,High-Volatility Correction,2024-05-02,2024-07-15,53,32.3591,32.9742,0.9999767766138249,0.01900856327895406
58,1,Low-Volatility Trend,2024-07-16,2024-07-19,4,33.0252,33.0413,0.9947143149429168,0.0004875065101801468
59,0,High-Volatility Correction,2024-07-22,2024-07-26,5,32.8963,32.9449,0.999720632592154,0.0014773697953873732
60,1,Low-Volatility Trend,2024-07-29,2024-08-05,6,33.0711,33.3451,0.9888676589594106,0.008285179507182994
61,0,High-Volatility Correction,2024-08-06,2024-08-12,5,33.5981,33.5916,0.9991942627597412,-0.00019346332084257956
62,1,Low-Volatility Trend,2024-08-13,2024-08-30,14,33.5335,34.0669,0.9822566803406366,0.015906481578123355
63,0,High-Volatility Correction,2024-09-02,2024-09-02,1,33.878,33.878,0.999999998448402,0.0
64,1,Low-Volatility Trend,2024-09-03,2024-09-11,7,33.982,33.9557,0.8745376950921269,-0.0007739391442528332
65,0,High-Volatility Correction,2024-09-12,2024-09-13,2,33.8832,33.8935,0.9998787869417305,0.0003039854559192534
66,1,Low-Volatility Trend,2024-09-16,2025-03-18,132,33.9773,36.6908,0.9999529362468963,0.07986214325446706
67,0,High-Volatility Correction,2025-03-19,2025-04-17,22,37.808,37.9702,0.9891267080276589,0.0042900973338975135
68,1,Low-Volatility Trend,2025-04-18,2025-07-23,69,38.1008,40.4534,0.9993989298479049,0.06174673497669336
69,0,High-Volatility Correction,2025-07-24,2025-07-30,5,40.7511,40.5856,0.9990613560619238,-0.004061240064685445
70,1,Low-Volatility Trend,2025-07-31,2026-08-07,267,40.638,47.7111,0.999998051967737,0.17405138048132307
