Date,M1_Regime_Code,M1_P_LOW,M1_P_ELEVATED,M1_P_STRESS
2021-01-01,Elevated-Volatility Transition,1.354397092512056e-15,0.9980181914605659,0.0019818085394322734
2021-01-04,Elevated-Volatility Transition,6.611810852719537e-13,0.9994747128732894,0.0005252871260498795
2021-01-05,Elevated-Volatility Transition,1.2986128887609527e-13,0.9991149151255443,0.0008850848743266785
2021-01-06,Elevated-Volatility Transition,2.834805695032707e-17,0.9943449619335645,0.005655038066436119
2021-01-07,Elevated-Volatility Transition,5.406891757429102e-15,0.9977017140242838,0.0022982859757112247
2021-01-08,Elevated-Volatility Transition,2.2154100784266818e-14,0.9992218393775518,0.0007781606224265657
2021-01-11,Elevated-Volatility Transition,3.668608936436684e-16,0.9993554649860263,0.0006445350139729085
2021-01-12,Elevated-Volatility Transition,2.7623176820919707e-15,0.9997206382666971,0.0002793617333005293
2021-01-13,Elevated-Volatility Transition,5.046366694369549e-16,0.9994554864183419,0.0005445135816579311
2021-01-14,Elevated-Volatility Transition,2.280088238581988e-16,0.9992324678129336,0.000767532187066188
2021-01-15,Elevated-Volatility Transition,2.58898933043142e-17,0.9988752151890891,0.001124784810910748
2021-01-18,Elevated-Volatility Transition,1.8600268765203825e-14,0.9998459988945175,0.00015400110546395917
2021-01-19,Elevated-Volatility Transition,3.249212774355807e-14,0.9998812953394411,0.00011870466052576183
2021-01-20,Elevated-Volatility Transition,5.077002024905732e-15,0.9997881874422496,0.00021181255774519855
2021-01-21,Elevated-Volatility Transition,8.857669559590322e-16,0.9996230215245326,0.00037697847546578483
2021-01-22,Elevated-Volatility Transition,4.268166212433953e-14,0.9997649089907898,0.00023509100916761533
2021-01-25,Elevated-Volatility Transition,7.42145683773898e-13,0.999742288817153,0.0002577111821040154
2021-01-26,Elevated-Volatility Transition,6.937042675609701e-15,0.9991630123279637,0.0008369876720295594
2021-01-27,Elevated-Volatility Transition,4.4704242061358694e-14,0.9997863324600758,0.0002136675398786866
2021-01-28,Elevated-Volatility Transition,2.3387798664652826e-16,0.999279061795153,0.0007209382048460579
2021-01-29,Elevated-Volatility Transition,9.399554511025945e-12,0.9999659684055988,3.40315850017861e-05
2021-02-01,Elevated-Volatility Transition,6.980230457155805e-18,0.9983568856978599,0.0016431143021395968
2021-02-02,Elevated-Volatility Transition,1.2533478349647076e-12,0.9999696985034501,3.0301495296811764e-05
2021-02-03,Elevated-Volatility Transition,7.966299101320056e-12,0.9999641899299124,3.581006212047517e-05
2021-02-04,Elevated-Volatility Transition,3.330911036675958e-11,0.9999764352400698,2.3564726621229592e-05
2021-02-05,Elevated-Volatility Transition,7.128718816164706e-15,0.9996247505690347,0.00037524943095897773
2021-02-08,Elevated-Volatility Transition,4.5812904171937246e-10,0.9999739006197338,2.6098922137786777e-05
2021-02-09,Elevated-Volatility Transition,5.664053416311095e-10,0.9999715993439122,2.8400089682787176e-05
2021-02-10,Elevated-Volatility Transition,9.144429111882127e-10,0.9999750703154159,2.4928770140501823e-05
2021-02-11,Elevated-Volatility Transition,2.8795189499861224e-10,0.9999589366463507,4.106306569766847e-05
2021-02-12,Elevated-Volatility Transition,5.0918651671797744e-08,0.9999413074731498,5.864160819850885e-05
2021-02-15,Elevated-Volatility Transition,1.6198863598907738e-10,0.9997040315346397,0.0002959683033722544
2021-02-16,Elevated-Volatility Transition,2.994802371886805e-08,0.9999662627195697,3.370733240679886e-05
