Episode_ID,Regime,Start_Date,End_Date,Duration,Start_Price,End_Price,Regime_Name,Price_Change
1,1,2017-03-27,2017-04-21,20,3.6166,3.6401,Baseline Trend,0.006497815627937831
2,2,2017-04-24,2017-04-24,1,3.573,3.573,High-Volatility Correction,0.0
3,1,2017-04-25,2018-05-23,282,3.5797,4.5762,Baseline Trend,0.2783752828449313
4,0,2018-05-24,2018-05-24,1,4.7073,4.7073,High-Volatility Uptrend,0.0
5,1,2018-05-25,2018-05-29,3,4.7081,4.5488,Baseline Trend,-0.0338353051124658
6,2,2018-05-30,2018-05-30,1,4.465,4.465,High-Volatility Correction,0.0
7,1,2018-05-31,2018-06-06,5,4.5245,4.5554,Baseline Trend,0.0068294839208751235
8,2,2018-06-07,2018-06-07,1,4.4844,4.4844,High-Volatility Correction,0.0
9,1,2018-06-08,2018-07-24,33,4.474,4.8861,Baseline Trend,0.09210996870809107
10,2,2018-07-25,2018-07-25,1,4.7728,4.7728,High-Volatility Correction,0.0
11,1,2018-07-26,2018-08-03,7,4.8649,5.0815,Baseline Trend,0.04452301177824847
12,0,2018-08-06,2018-08-06,1,5.3301,5.3301,High-Volatility Uptrend,0.0
13,1,2018-08-07,2018-08-07,1,5.2443,5.2443,Baseline Trend,0.0
14,0,2018-08-08,2018-09-06,22,5.28,6.5827,High-Volatility Uptrend,0.24672348484848472
15,2,2018-09-07,2018-09-07,1,6.397,6.397,High-Volatility Correction,0.0
16,0,2018-09-10,2018-09-10,1,6.4616,6.4616,High-Volatility Uptrend,0.0
17,2,2018-09-11,2019-01-01,81,6.4302,5.2933,High-Volatility Correction,-0.1768063201766663
18,1,2019-01-02,2019-01-03,2,5.4003,5.4664,Baseline Trend,0.012240060737366498
19,2,2019-01-04,2019-01-04,1,5.3311,5.3311,High-Volatility Correction,0.0
20,1,2019-01-07,2019-01-15,7,5.3848,5.4466,Baseline Trend,0.011476749368592998
21,2,2019-01-16,2019-01-16,1,5.3363,5.3363,High-Volatility Correction,0.0
22,1,2019-01-17,2019-01-30,10,5.348,5.2252,Baseline Trend,-0.02296185489902769
23,2,2019-01-31,2019-01-31,1,5.1645,5.1645,High-Volatility Correction,0.0
24,1,2019-02-01,2019-03-21,35,5.2084,5.4652,Baseline Trend,0.04930496889639824
25,0,2019-03-22,2019-03-22,1,5.7627,5.7627,High-Volatility Uptrend,0.0
26,2,2019-03-25,2019-03-27,3,5.5503,5.3278,High-Volatility Correction,-0.040087923175323836
27,0,2019-03-28,2019-03-28,1,5.561,5.561,High-Volatility Uptrend,0.0
28,2,2019-03-29,2019-04-01,2,5.5555,5.4863,High-Volatility Correction,-0.012456124561245674
29,1,2019-04-02,2019-05-29,42,5.605,6.0121,Baseline Trend,0.07263157894736838
30,2,2019-05-30,2019-06-06,6,5.8772,5.7801,High-Volatility Correction,-0.016521472810181792
31,1,2019-06-07,2019-06-07,1,5.831,5.831,Baseline Trend,0.0
32,2,2019-06-10,2019-06-10,1,5.7747,5.7747,High-Volatility Correction,0.0
33,1,2019-06-11,2019-06-28,14,5.7976,5.7921,Baseline Trend,-0.0009486684145164626
34,2,2019-07-01,2019-07-05,5,5.6507,5.6288,High-Volatility Correction,-0.003875626028633561
35,1,2019-07-08,2019-07-09,2,5.7367,5.7322,Baseline Trend,-0.0007844231003887314
36,2,2019-07-10,2019-07-10,1,5.6741,5.6741,High-Volatility Correction,0.0
37,1,2019-07-11,2019-07-17,5,5.6734,5.6842,Baseline Trend,0.0019036204039903915
38,2,2019-07-18,2019-07-18,1,5.6181,5.6181,High-Volatility Correction,0.0
39,1,2019-07-19,2019-07-26,6,5.6551,5.6718,Baseline Trend,0.0029530865944016327
40,2,2019-07-29,2019-07-31,3,5.6148,5.5864,High-Volatility Correction,-0.005058060839210565
41,1,2019-08-01,2019-08-01,1,5.6039,5.6039,Baseline Trend,0.0
42,2,2019-08-02,2019-08-02,1,5.5597,5.5597,High-Volatility Correction,0.0
43,1,2019-08-05,2019-08-05,1,5.5715,5.5715,Baseline Trend,0.0
44,2,2019-08-06,2019-08-09,4,5.5209,5.4917,High-Volatility Correction,-0.005288992736691589
45,1,2019-08-12,2020-11-06,325,5.564,8.5193,Baseline Trend,0.5311466570812364
46,2,2020-11-09,2020-11-09,1,8.0525,8.0525,High-Volatility Correction,0.0
47,1,2020-11-10,2020-11-10,1,8.156,8.156,Baseline Trend,0.0
48,2,2020-11-11,2020-11-23,9,7.793,7.8873,High-Volatility Correction,0.012100603105350993
49,1,2020-11-24,2020-11-24,1,8.0054,8.0054,Baseline Trend,0.0
50,2,2020-11-25,2020-12-09,11,7.9522,7.8244,High-Volatility Correction,-0.016071024370614473
51,1,2020-12-10,2020-12-10,1,7.8903,7.8903,Baseline Trend,0.0
52,2,2020-12-11,2020-12-11,1,7.8421,7.8421,High-Volatility Correction,0.0
53,1,2020-12-14,2020-12-14,1,7.8508,7.8508,Baseline Trend,0.0
54,2,2020-12-15,2021-02-19,49,7.8362,6.9814,High-Volatility Correction,-0.1090834843419004
55,1,2021-02-22,2021-03-17,18,7.021,7.4954,Baseline Trend,0.06756872240421585
56,2,2021-03-18,2021-03-19,2,7.3226,7.2131,High-Volatility Correction,-0.014953704968180825
57,0,2021-03-22,2021-03-30,7,7.7886,8.3233,High-Volatility Uptrend,0.06865161903294559
58,1,2021-03-31,2021-11-16,165,8.2399,10.3168,Baseline Trend,0.25205402978191493
59,0,2021-11-17,2021-12-17,23,10.6327,16.5047,High-Volatility Uptrend,0.5522585984745172
60,2,2021-12-20,2021-12-28,7,13.437,11.828,High-Volatility Correction,-0.11974399047406414
61,0,2021-12-29,2022-01-10,9,12.668,13.8227,High-Volatility Uptrend,0.0911509314808967
62,2,2022-01-11,2022-03-10,43,13.8005,14.8751,High-Volatility Correction,0.07786674395855231
63,1,2022-03-11,2022-06-24,76,14.7786,16.8875,Baseline Trend,0.1426995791211616
64,2,2022-06-27,2022-06-27,1,16.5309,16.5309,High-Volatility Correction,0.0
65,1,2022-06-28,2023-06-06,246,16.6728,21.5686,Baseline Trend,0.29363994050189546
66,0,2023-06-07,2023-06-13,5,23.2553,23.6313,High-Volatility Uptrend,0.01616835732069677
67,1,2023-06-14,2023-06-21,6,23.5614,23.5664,Baseline Trend,0.0002122114984679513
68,0,2023-06-22,2023-06-30,7,24.8748,25.8881,High-Volatility Uptrend,0.0407360059176356
69,1,2023-07-03,2023-08-23,38,25.9212,27.1893,Baseline Trend,0.0489213462339706
70,2,2023-08-24,2023-08-24,1,25.7736,25.7736,High-Volatility Correction,0.0
71,1,2023-08-25,2023-08-25,1,26.5335,26.5335,Baseline Trend,0.0
72,2,2023-08-28,2023-08-29,2,26.4642,26.5177,High-Volatility Correction,0.0020215989903340503
73,1,2023-08-30,2026-08-07,768,26.6899,47.7111,Baseline Trend,0.7876087958366274
