Max_Samples,Test_Year,IF_Test_Rate,Threshold
256,2021,0.13793103448275862,0.5497745372321607
256,2022,0.1346153846153846,0.5252183341988845
256,2023,0.05,0.5229853804382901
256,2024,0.0,0.522389679218595
256,2025,0.0038314176245210726,0.5262227577706479
256,2026,0.0,0.5342413296595461
512,2021,0.14942528735632185,0.5227609452724016
512,2022,0.14615384615384616,0.5092332226819195
512,2023,0.05,0.4993901437840839
512,2024,0.0,0.503941351074725
512,2025,0.0038314176245210726,0.5081074021294381
512,2026,0.0,0.5162065683640666
1024,2021,0.1532567049808429,0.5059040388404502
1024,2022,0.16923076923076924,0.4919701856470282
1024,2023,0.046153846153846156,0.4891083999530835
1024,2024,0.0,0.48772076442551865
1024,2025,0.0038314176245210726,0.4901738401183163
1024,2026,0.0,0.4946922030766914
