Threshold_Multiplier,Test_Year,Training_Target_Rate,IF_Test_Rate,Threshold
0.75,2021,0.046680497925311204,0.13409961685823754,0.5425307788060262
0.75,2022,0.05510204081632654,0.06923076923076923,0.539153573978726
0.75,2023,0.05404040404040404,0.026923076923076925,0.536128465446845
0.75,2024,0.054584527220630376,0.0,0.5320333047379939
0.75,2025,0.05493273542600896,0.0038314176245210726,0.5266433659507533
0.75,2026,0.05191798941798942,0.0,0.5360712901074158
1.0,2021,0.06224066390041494,0.14942528735632185,0.5227609452724016
1.0,2022,0.07346938775510205,0.14615384615384616,0.5092332226819195
1.0,2023,0.07205387205387205,0.05,0.4993901437840839
1.0,2024,0.07277936962750717,0.0,0.503941351074725
1.0,2025,0.07324364723467862,0.0038314176245210726,0.5081074021294381
1.0,2026,0.06922398589065255,0.0,0.5162065683640666
1.25,2021,0.07780082987551867,0.1532567049808429,0.5115654074371457
1.25,2022,0.09183673469387756,0.18076923076923077,0.4917516947916624
1.25,2023,0.09006734006734006,0.05,0.4892448067835246
1.25,2024,0.09097421203438397,0.0,0.4929342196305239
1.25,2025,0.09155455904334828,0.0038314176245210726,0.4869234495877121
1.25,2026,0.08652998236331569,0.0,0.49220223172510486
